"employee_id","employee_name","email","password","role","created_at","updated_at"
"E0001","田中 太郎","tanaka1@example.com","pass123","ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0002","田中 次郎","tanaka2@example.com","pass124","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0003","田中 三郎","tanaka3@example.com","pass125","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0004","佐藤 四郎","sato4@example.com","pass126","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0005","佐藤 五郎","sato5@example.com","pass127","ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0006","鈴木 六郎","suzuki6@example.com","pass128","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0007","鈴木 七郎","suzuki7@example.com","pass129","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0008","伊藤 八郎","ito8@example.com","pass130","ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0009","伊藤 九郎","ito9@example.com","pass131","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0010","加藤 十郎","kato10@example.com","pass132","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0011","加藤 十一郎","kato11@example.com","pass133","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0012","山田 十二郎","yamada12@example.com","pass134","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0013","山田 十三郎","yamada13@example.com","pass135","ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0014","中村 十四郎","nakamura14@example.com","pass136","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0015","中村 十五郎","nakamura15@example.com","pass137","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0016","小林 十六郎","kobayashi16@example.com","pass138","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0017","小林 十七郎","kobayashi17@example.com","pass139","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0018","高橋 十八郎","takahashi18@example.com","pass140","ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0019","高橋 十九郎","takahashi19@example.com","pass141","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
"E0020","高橋 二十郎","takahashi20@example.com","pass142","NOT_ADMIN","2024-07-15 19:18:42.408608","2024-07-15 19:18:42.408608"
